Step,Value
0.0,0.9493670886075949
80.0,0.9685534591194969
160.0,0.9748953974895398
240.0,0.9749216300940439
320.0,0.949874686716792
400.0,0.9478079331941545
480.0,0.9445438282647585
560.0,0.9436619718309859
640.0,0.9471488178025035
720.0,0.9411764705882353
800.0,0.9453924914675768
880.0,0.9499478623566214
960.0,0.9528392685274302
1040.0,0.9544235924932976
1120.0,0.9557964970809008
1200.0,0.9554339327599687
1280.0,0.9551140544518028
1360.0,0.9569145239749827
1440.0,0.9578670177748518
1520.0,0.959349593495935
1600.0,0.958904109589041
1680.0,0.9607731665719159
1760.0,0.9608482871125612
1840.0,0.9603960396039604
1920.0,0.961480740370185
2000.0,0.9624819624819625
2080.0,0.9624826308476147
2160.0,0.9624832514515409
2240.0,0.9611901681759379
2320.0,0.9620675281367236
2400.0,0.963291649858814
2480.0,0.9640484564282923
2560.0,0.9651383099658962
2640.0,0.966164030893711
2720.0,0.9664165773490533
2800.0,0.9670024313997916
2880.0,0.9668807029401825
2960.0,0.9664363277393879
3040.0,0.9672972106444373
3120.0,0.9678024382619569
3200.0,0.9682830131137542
3280.0,0.9687406966359036
3360.0,0.9691770863623146
3440.0,0.9695936345552714
3520.0,0.9699916643512086
3600.0,0.9698287578146235
3680.0,0.9704708699122107
3760.0,0.971086220369888
3840.0,0.9698902781321765
3920.0,0.9699924981245311
4000.0,0.9705810247609709
4080.0,0.9709064679009377
4160.0,0.9709837225760792
4240.0,0.9712896503820329
4320.0,0.9713571266196863
4400.0,0.9714221924536727
4480.0,0.9719236674709366
4560.0,0.9719767191205001
4640.0,0.9722398813307904
4720.0,0.9724942696395082
4800.0,0.9729452756712441
4880.0,0.9731800766283525
4960.0,0.9736058741813852
5040.0,0.9738230123070912
5120.0,0.9736487786112714
5200.0,0.9729115362758098
5280.0,0.9733159171487218
5360.0,0.9733406876264019
5440.0,0.9737271244790723
5520.0,0.9732095016967316
5600.0,0.9727064624053531
5680.0,0.9730856051397813
5760.0,0.9732830964206199
5840.0,0.9733063017401589
5920.0,0.9736622770461744
6000.0,0.9740088830399737
6080.0,0.9738593927585647
6160.0,0.9741945824651387
6240.0,0.9743630321253363
6320.0,0.9745272698859196
6400.0,0.9742244173483562
6480.0,0.9745388016465925
6560.0,0.9745443590902244
6640.0,0.9742521208513172
6720.0,0.9742609207236358
6800.0,0.9745602558511411
6880.0,0.9745653111079178
6960.0,0.9747123170904958
7040.0,0.9749964882708245
7120.0,0.9749965272954577
7200.0,0.9751339469707377
7280.0,0.9752683788558228
7360.0,0.9752654926737465
7440.0,0.9749966750897726
7520.0,0.9751283063560995
7600.0,0.97538742023701
7680.0,0.9756411908751128
7760.0,0.9755070799846919
7840.0,0.9755019573178432
7920.0,0.9754969371171397
